"Date","Price","Open","High","Low","Vol.","Change %"
"10/03/2023","480.98","504.42","504.42","477.98","51.89M","-4.52%"
"09/03/2023","503.74","520.14","524.74","501.41","34.40M","-3.30%"
"08/03/2023","520.94","516.38","524.05","513.40","29.28M","1.15%"
"07/03/2023","515.00","533.71","533.71","514.15","42.44M","-3.56%"
"06/03/2023","534.03","546.00","546.00","531.29","35.93M","-2.51%"
"03/03/2023","547.77","537.64","548.92","536.84","40.91M","2.02%"
"02/03/2023","536.95","527.07","537.52","519.46","37.50M","1.74%"
"01/03/2023","527.79","521.21","532.74","521.21","44.37M","2.99%"
"28/02/2023","512.46","501.33","516.62","499.51","47.55M","2.32%"
"27/02/2023","500.84","498.43","505.83","497.85","33.13M","1.32%"
"24/02/2023","494.33","491.06","494.33","483.74","35.41M","-1.02%"
"23/02/2023","499.43","507.36","509.45","491.18","36.13M","-1.52%"
"22/02/2023","507.13","508.81","514.11","505.13","35.74M","-0.65%"
"21/02/2023","510.45","512.82","522.40","508.17","39.53M","-0.36%"
"17/02/2023","512.30","521.14","521.14","509.04","37.86M","-1.72%"
"16/02/2023","521.27","515.70","529.82","514.65","36.68M","0.80%"
"15/02/2023","517.15","515.35","517.36","505.64","35.55M","-0.78%"
"14/02/2023","521.20","509.06","522.95","505.37","46.58M","2.01%"
"13/02/2023","510.94","507.56","513.74","499.70","29.90M","0.64%"
"10/02/2023","507.70","507.40","509.57","501.34","29.30M","-0.37%"
"09/02/2023","509.57","516.41","524.26","507.15","29.55M","-1.21%"
"08/02/2023","515.81","519.23","521.41","514.66","29.87M","-0.88%"
"07/02/2023","520.39","521.23","524.41","510.38","47.65M","-0.12%"
"06/02/2023","521.00","532.19","532.19","516.96","37.10M","-2.00%"
"03/02/2023","531.62","533.06","548.72","529.87","45.00M","-0.17%"
"02/02/2023","532.55","536.16","536.76","523.19","40.94M","-0.64%"
"01/02/2023","535.99","523.82","539.78","515.19","39.13M","2.25%"
"31/01/2023","524.22","513.87","524.31","510.59","37.48M","1.54%"
"30/01/2023","516.26","522.62","525.40","515.91","27.85M","-1.40%"
"27/01/2023","523.57","528.35","532.95","522.37","35.35M","-1.14%"
"26/01/2023","529.63","518.76","529.88","511.89","44.68M","2.64%"
"25/01/2023","515.99","499.73","516.33","497.17","43.27M","2.93%"
